Audience Segment,Audience1,Audience2,Audience3,Audience4,Audience5,Audience6,Audience7,Creative Size,Creative Messaging,Location,City,State,URL,Publisher,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Conversions,Gross Cost,322,CPC  (Gross Cost/Clicks),CPA (Cost/Conversions),CPM,CVR (Conversion/Clicks),CTR (Clicks/Impressions),Viewability
Online Behavior>United States>Autos and Vehicles>Brands>Mazda,Online Behavior,United States,Autos and Vehicles,Brands,Mazda,,,320x50,Subscribe Today - 10% Discount,"New York City,New York",New York City,New York,cbsnews.com,Cbsnews,TripleLift,Smartphone,"134,847.00",582,"104,268.00","128,470.00",132,"$6,040.60",#NAME?,$10.38,$45.76,$44.80,22.68%,0.43%,81.16%
Online Behavior>United States>People and Society>Family and Relationships>Parents,Online Behavior,United States,People and Society,Family and Relationships,Parents,,,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,cbsnews.com,Cbsnews,BidSwitch,Smartphone,"115,544.00",491,"79,182.00","109,463.00",69,"$6,721.09",,$13.69,$97.41,$58.17,14.05%,0.42%,72.34%
Online Behavior>United States>Finance>Banking>Savings Accounts,Online Behavior,United States,Finance,Banking,Savings Accounts,,,300x250,Subscribe Today - 10% Discount,"Chicago,Illinois",Chicago,Illinois,the-sun.com,The-Sun,Google Ad Manager,Smartphone,"357,707.00",444,"203,987.00","338,107.00",74,"$6,749.20",,$15.20,$91.21,$18.87,16.67%,0.12%,60.33%
"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I make the final decision with input from staff>management",US,B2B,Purchase DM,"Technology Services, Hardware and",or Software,I make the final decision with input from staff,management,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce,Florida",West Palm Beach-Ft. Pierce,Florida,taboolanews.com,Taboolanews,TripleLift,Smartphone,"217,824.00",339,"75,089.00","179,723.00",16,"$1,451.81",,$4.28,$90.74,$6.67,4.72%,0.16%,41.78%
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Hygiene and Toiletries,Online Behavior,United States,Beauty and Fitness,Face and Body Care,Hygiene and Toiletries,,,300x250,Sign up Now - 10% Off,"Chicago,Illinois",Chicago,Illinois,the-sun.com,The-Sun,OpenX,Smartphone,"247,106.00",290,"159,618.00","233,150.00",32,"$7,629.94",,$26.31,$238.44,$30.88,11.03%,0.12%,68.46%
Online Behavior>United States>Travel>Travel Agencies and Services>Tourist Boards and Visitor Centers,Online Behavior,United States,Travel,Travel Agencies and Services,Tourist Boards and Visitor Centers,,,320x50,Sign up Today - 10% Off,"Ft. Wayne,Indiana",Ft. Wayne,Indiana,nbcnews.com,Nbcnews,Magnite DV+,Smartphone,"189,571.00",278,"130,676.00","183,688.00",44,"$6,335.95",,$22.79,$144.00,$33.42,15.83%,0.15%,71.14%
Online Behavior>United States>Finance>Credit and Lending>Credit and Lending,Online Behavior,United States,Finance,Credit and Lending,Credit and Lending,,,320x50,10% Discount - Ends 6/1,"Chicago,Illinois",Chicago,Illinois,msn.com,Msn,PubMatic,Smartphone,"4,154,911.00",261,"2,338,732.00","3,445,626.00",154,"$8,038.57",,$30.80,$52.20,$1.93,59.00%,0.01%,67.88%
Media and Entertainment>News and Current Events,Media and Entertainment,News and Current Events,,60,,,,300x250,Sign up Now - 10% Off,"Los Angeles,California",Los Angeles,California,nbcnews.com,Nbcnews,Google Ad Manager,Smartphone,"183,208.00",237,"131,164.00","177,952.00",43,"$2,682.44",,$11.32,$62.38,$14.64,18.14%,0.13%,73.71%
US>Reach>Propensity Models>Online>Home Office,US,Reach,Propensity Models,Online,Home Office,,,320x50,Subscribe Today - 10% Discount,"Nashville,Tennessee",Nashville,Tennessee,outlook.live.com,Outlook,Magnite DV+,Smartphone,"481,526.00",223,"396,802.00","437,639.00",23,"$2,037.87",,$9.14,$88.60,$4.23,10.31%,0.05%,90.67%
Online Behavior>United States>Travel>Specialty Travel>Agritourism,Online Behavior,United States,Travel,Specialty Travel,Agritourism,,,300x250,Subscribe Today - 10% Discount,"Los Angeles,California",Los Angeles,California,mail.yahoo.com,Mail,PubMatic,Smartphone,"1,720,462.00",214,"940,296.00","1,516,537.00",20,"$5,906.46",,$27.60,$295.32,$3.43,9.35%,0.01%,62.00%
